Software,Version,Dependent Toolchain,Module Load Command
GCC,12.2.0,foss/2022b,`module load GCC/12.2.0`
GCC,13.2.0,foss/2023b,`module load GCC/13.2.0`
GCC,11.2.0,foss/2021b,`module load GCC/11.2.0`
opendihu,2204,-,`module load opendihu/2204`
git,2.33.1,-,`module load git/2.33.1`
rclone,1.57.0,-,`module load rclone/1.57.0`
tmux,3.3a,-,`module load tmux/3.3a`
iimpi,2022b,-,`module load iimpi/2022b`
iimpi,2022a,-,`module load iimpi/2022a`
iimpi,2021b,-,`module load iimpi/2021b`
MATLAB,2023a,-,`module load MATLAB/2023a`
ANSYS,2022,-,`module load ANSYS/2022`
Anaconda3,2023.09-0,-,`module load Anaconda3/2023.09-0`
Anaconda3,5.3.0,-,`module load Anaconda3/5.3.0`
GCCcore,12.2.0,-,`module load GCCcore/12.2.0`
GCCcore,11.3.0,-,`module load GCCcore/11.3.0`
GCCcore,13.2.0,-,`module load GCCcore/13.2.0`
GCCcore,11.2.0,-,`module load GCCcore/11.2.0`
COMSOL,5.6,-,`module load COMSOL/5.6`
tecplot360ex,2022R2,-,`module load tecplot360ex/2022R2`
Go,1.17.3,-,`module load Go/1.17.3`
Go,1.17.6,-,`module load Go/1.17.6`
pkgconf,1.8.0,-,`module load pkgconf/1.8.0`
matplotlib,3.4.3,intel/2021b,`module load intel/2021b matplotlib/3.4.3`
CP2K,8.2,intel/2021b,`module load intel/2021b CP2K/8.2`
PLUMED,2.8.0,intel/2021b,`module load intel/2021b PLUMED/2.8.0`
netCDF-Fortran,4.5.3,intel/2021b,`module load intel/2021b netCDF-Fortran/4.5.3`
netCDF,4.8.1,intel/2021b,`module load intel/2021b netCDF/4.8.1`
SciPy-bundle,2021.10,intel/2021b,`module load intel/2021b SciPy-bundle/2021.10`
HDF5,1.12.1,intel/2021b,`module load intel/2021b HDF5/1.12.1`
Libint,2.7.2-lmax-6-cp2k,intel/2021b,`module load intel/2021b Libint/2.7.2-lmax-6-cp2k`
SuperLU,5.3.0,intel/2021b,`module load intel/2021b SuperLU/5.3.0`
ELPA,2021.11.001,intel/2021b,`module load intel/2021b ELPA/2021.11.001`
imkl-FFTW,2021.4.0,intel/2021b,`module load intel/2021b imkl-FFTW/2021.4.0`
HPL,2.3,intel/2022b,`module load intel/2022b HPL/2.3`
HDF5,1.14.0,intel/2022b,`module load intel/2022b HDF5/1.14.0`
imkl-FFTW,2022.2.1,intel/2022b,`module load intel/2022b imkl-FFTW/2022.2.1`
VASP,6.4.2,intel/2022b,`module load intel/2022b VASP/6.4.2`
GROMACS,2021.5,foss/2021b,`module load foss/2021b GROMACS/2021.5`
GROMACS,2021.5-CUDA-11.4.1,foss/2021b,`module load foss/2021b GROMACS/2021.5-CUDA-11.4.1`
matplotlib,3.4.3,foss/2021b,`module load foss/2021b matplotlib/3.4.3`
R,4.2.0,foss/2021b,`module load foss/2021b R/4.2.0`
OpenFOAM,v2112,foss/2021b,`module load foss/2021b OpenFOAM/v2112`
PLUMED,2.7.3,foss/2021b,`module load foss/2021b PLUMED/2.7.3`
MDAnalysis,2.0.0,foss/2021b,`module load foss/2021b MDAnalysis/2.0.0`
LIGGGHTS-PUBLIC,3.8.0-kokkos-CUDA-11.4.1,foss/2021b,`module load foss/2021b LIGGGHTS-PUBLIC/3.8.0-kokkos-CUDA-11.4.1`
netCDF-Fortran,4.5.3,foss/2021b,`module load foss/2021b netCDF-Fortran/4.5.3`
Biopython,1.79,foss/2021b,`module load foss/2021b Biopython/1.79`
LAMMPS,23Jun2022-kokkos-CUDA-11.4.1,foss/2021b,`module load foss/2021b LAMMPS/23Jun2022-kokkos-CUDA-11.4.1`
LAMMPS,23Jun2022-kokkos,foss/2021b,`module load foss/2021b LAMMPS/23Jun2022-kokkos`
magma,2.6.2-CUDA-11.4.1,foss/2021b,`module load foss/2021b magma/2.6.2-CUDA-11.4.1`
OVITO,3.7.11-basic,foss/2021b,`module load foss/2021b OVITO/3.7.11-basic`
netCDF,4.8.1,foss/2021b,`module load foss/2021b netCDF/4.8.1`
ParaView,5.9.1-mpi,foss/2021b,`module load foss/2021b ParaView/5.9.1-mpi`
Boost.MPI,1.77.0,foss/2021b,`module load foss/2021b Boost.MPI/1.77.0`
CGAL,4.14.3,foss/2021b,`module load foss/2021b CGAL/4.14.3`
SciPy-bundle,2021.10,foss/2021b,`module load foss/2021b SciPy-bundle/2021.10`
QuantumESPRESSO,7.1,foss/2021b,`module load foss/2021b QuantumESPRESSO/7.1`
SCOTCH,6.1.2,foss/2021b,`module load foss/2021b SCOTCH/6.1.2`
RIP-MD,master,foss/2021b,`module load foss/2021b RIP-MD/master`
HDF5,1.12.1,foss/2021b,`module load foss/2021b HDF5/1.12.1`
AFNI,23.0.04-Python-3.9.6,foss/2021b,`module load foss/2021b AFNI/23.0.04-Python-3.9.6`
VTK,9.1.0,foss/2021b,`module load foss/2021b VTK/9.1.0`
perm-md-count,main,foss/2021b,`module load foss/2021b perm-md-count/main`
networkx,2.6.3,foss/2021b,`module load foss/2021b networkx/2.6.3`
FFTW,3.3.10,foss/2021b,`module load foss/2021b FFTW/3.3.10`
ELPA,2021.05.001,foss/2021b,`module load foss/2021b ELPA/2021.05.001`
GDAL,3.3.2,foss/2021b,`module load foss/2021b GDAL/3.3.2`
ScaFaCoS,1.0.1,foss/2021b,`module load foss/2021b ScaFaCoS/1.0.1`
ScaLAPACK,2.1.0-fb,foss/2021b,`module load foss/2021b ScaLAPACK/2.1.0-fb`
GROMACS,2024.1,foss/2023b,`module load foss/2023b GROMACS/2024.1`
mpi4py,3.1.5,foss/2023b,`module load foss/2023b mpi4py/3.1.5`
FFTW.MPI,3.3.10,foss/2023b,`module load foss/2023b FFTW.MPI/3.3.10`
ScaLAPACK,2.2.0-fb,foss/2023b,`module load foss/2023b ScaLAPACK/2.2.0-fb`
GROMACS,2023.1-CUDA-12.0.0,foss/2022b,`module load foss/2022b GROMACS/2023.1-CUDA-12.0.0`
R,4.2.2,foss/2022b,`module load foss/2022b R/4.2.2`
ncview,2.1.8,foss/2022b,`module load foss/2022b ncview/2.1.8`
CP2K,2023.1,foss/2022b,`module load foss/2022b CP2K/2023.1`
PLUMED,2.9.0,foss/2022b,`module load foss/2022b PLUMED/2.9.0`
MDAnalysis,2.4.2,foss/2022b,`module load foss/2022b MDAnalysis/2.4.2`
PnetCDF,1.12.3,foss/2022b,`module load foss/2022b PnetCDF/1.12.3`
netCDF-Fortran,4.6.0,foss/2022b,`module load foss/2022b netCDF-Fortran/4.6.0`
Biopython,1.81,foss/2022b,`module load foss/2022b Biopython/1.81`
PyTables,3.8.0,foss/2022b,`module load foss/2022b PyTables/3.8.0`
mpi4py,3.1.4,foss/2022b,`module load foss/2022b mpi4py/3.1.4`
netCDF,4.9.0,foss/2022b,`module load foss/2022b netCDF/4.9.0`
ParaView,5.11.0-mpi,foss/2022b,`module load foss/2022b ParaView/5.11.0-mpi`
IQ-TREE,2.2.2.6,foss/2022b,`module load foss/2022b IQ-TREE/2.2.2.6`
chapel,1.33.0,foss/2022b,`module load foss/2022b chapel/1.33.0`
SuperLU_DIST,8.1.0,foss/2022b,`module load foss/2022b SuperLU_DIST/8.1.0`
Armadillo,11.4.3,foss/2022b,`module load foss/2022b Armadillo/11.4.3`
HPL,2.3,foss/2022b,`module load foss/2022b HPL/2.3`
HDF5,1.14.0,foss/2022b,`module load foss/2022b HDF5/1.14.0`
xtb,6.6.1,foss/2022b,`module load foss/2022b xtb/6.6.1`
perm-md-count,main,foss/2022b,`module load foss/2022b perm-md-count/main`
ParMETIS,4.0.3,foss/2022b,`module load foss/2022b ParMETIS/4.0.3`
MPAS,8.0.1,foss/2022b,`module load foss/2022b MPAS/8.0.1`
SuperLU,5.3.0,foss/2022b,`module load foss/2022b SuperLU/5.3.0`
ORCA,5.0.4,foss/2022b,`module load foss/2022b ORCA/5.0.4`
VMD,1.9.4a57,foss/2022b,`module load foss/2022b VMD/1.9.4a57`
arkouda,2023.11.15,foss/2022b,`module load foss/2022b arkouda/2023.11.15`
GDAL,3.6.2,foss/2022b,`module load foss/2022b GDAL/3.6.2`
ParallelIO,2.5.10,foss/2022b,`module load foss/2022b ParallelIO/2.5.10`
Grace,5.1.25,foss/2022b,`module load foss/2022b Grace/5.1.25`
FFTW.MPI,3.3.10,foss/2022b,`module load foss/2022b FFTW.MPI/3.3.10`
arpack-ng,3.8.0,foss/2022b,`module load foss/2022b arpack-ng/3.8.0`
ScaLAPACK,2.2.0-fb,foss/2022b,`module load foss/2022b ScaLAPACK/2.2.0-fb`
Hypre,2.27.0,foss/2022b,`module load foss/2022b Hypre/2.27.0`
libxsmm,1.17,intel/2021b,`module load intel/2021b libxsmm/1.17`
impi,2021.4.0,intel/2021b,`module load intel/2021b`
GSL,2.7,intel/2021b,`module load intel/2021b GSL/2.7`
Boost,1.77.0,intel/2021b,`module load intel/2021b Boost/1.77.0`
libxc,5.1.6,intel/2021b,`module load intel/2021b libxc/5.1.6`
libxc,4.3.4,intel/2021b,`module load intel/2021b libxc/4.3.4`
libxsmm,1.16.2,intel/2022b,`module load intel/2022b libxsmm/1.16.2`
impi,2021.7.1,intel/2022b,`module load intel/2022b`
libxc,6.1.0,intel/2022b,`module load intel/2022b libxc/6.1.0`
libxc,5.2.3,intel/2022b,`module load intel/2022b libxc/5.2.3`
Boost.Python,1.77.0,foss/2021b,`module load foss/2021b Boost.Python/1.77.0`
poppler,22.01.0,foss/2021b,`module load foss/2021b poppler/22.01.0`
AutoDock-GPU,1.5.3-CUDA-11.4.1,foss/2021b,`module load foss/2021b AutoDock-GPU/1.5.3-CUDA-11.4.1`
OpenMPI,4.1.1,foss/2021b,`module load foss/2021b`
OpenBLAS,0.3.18,foss/2021b,`module load foss/2021b OpenBLAS/0.3.18`
GSL,2.7,foss/2021b,`module load foss/2021b GSL/2.7`
BLIS,0.8.1,foss/2021b,`module load foss/2021b BLIS/0.8.1`
Boost,1.79.0,foss/2021b,`module load foss/2021b Boost/1.79.0`
Boost,1.77.0,foss/2021b,`module load foss/2021b Boost/1.77.0`
POV-Ray,3.7.0.10,foss/2021b,`module load foss/2021b POV-Ray/3.7.0.10`
FlexiBLAS,3.0.4,foss/2021b,`module load foss/2021b FlexiBLAS/3.0.4`
libxc,5.1.6,foss/2021b,`module load foss/2021b libxc/5.1.6`
GEOS,3.9.1,foss/2021b,`module load foss/2021b GEOS/3.9.1`
SciPy-bundle,2023.11,foss/2023b,`module load foss/2023b SciPy-bundle/2023.11`
OpenMPI,4.1.6,foss/2023b,`module load foss/2023b`
OpenBLAS,0.3.24,foss/2023b,`module load foss/2023b OpenBLAS/0.3.24`
networkx,3.2.1,foss/2023b,`module load foss/2023b networkx/3.2.1`
BLIS,0.9.0,foss/2023b,`module load foss/2023b BLIS/0.9.0`
FFTW,3.3.10,foss/2023b,`module load foss/2023b FFTW/3.3.10`
FlexiBLAS,3.3.1,foss/2023b,`module load foss/2023b FlexiBLAS/3.3.1`
matplotlib,3.7.0,foss/2022b,`module load foss/2022b matplotlib/3.7.0`
libxsmm,1.17,foss/2022b,`module load foss/2022b libxsmm/1.17`
packmol,20.14.3,foss/2022b,`module load foss/2022b packmol/20.14.3`
NTL,11.5.1,foss/2022b,`module load foss/2022b NTL/11.5.1`
Arb,2.23.0,foss/2022b,`module load foss/2022b Arb/2.23.0`
SciPy-bundle,2023.02,foss/2022b,`module load foss/2022b SciPy-bundle/2023.02`
Libint,2.7.2-lmax-6-cp2k,foss/2022b,`module load foss/2022b Libint/2.7.2-lmax-6-cp2k`
OpenMPI,4.1.4,foss/2022b,`module load foss/2022b`
xtb,6.6.1,foss/2022b,`module load foss/2022b xtb/6.6.1`
OpenBLAS,0.3.21,foss/2022b,`module load foss/2022b OpenBLAS/0.3.21`
GSL,2.7,foss/2022b,`module load foss/2022b GSL/2.7`
networkx,2.8.8,foss/2022b,`module load foss/2022b networkx/2.8.8`
networkx,3.0,foss/2022b,`module load foss/2022b networkx/3.0`
BLIS,0.9.0,foss/2022b,`module load foss/2022b BLIS/0.9.0`
CREST,2.12,foss/2022b,`module load foss/2022b CREST/2.12`
Arrow,11.0.0,foss/2022b,`module load foss/2022b Arrow/11.0.0`
Boost,1.81.0,foss/2022b,`module load foss/2022b Boost/1.81.0`
FFTW,3.3.10,foss/2022b,`module load foss/2022b FFTW/3.3.10`
POV-Ray,3.7.0.10,foss/2022b,`module load foss/2022b POV-Ray/3.7.0.10`
silo,4.10.2,foss/2022b,`module load foss/2022b silo/4.10.2`
FlexiBLAS,3.2.1,foss/2022b,`module load foss/2022b FlexiBLAS/3.2.1`
libxc,6.1.0,foss/2022b,`module load foss/2022b libxc/6.1.0`
FLINT,2.9.0,foss/2022b,`module load foss/2022b FLINT/2.9.0`
FLINT,3.0.1,foss/2022b,`module load foss/2022b FLINT/3.0.1`
GEOS,3.11.1,foss/2022b,`module load foss/2022b GEOS/3.11.1`
libsndfile,1.0.31,foss/2021b,`module load foss/2021b libsndfile/1.0.31`
nodejs,14.17.6,foss/2021b,`module load foss/2021b nodejs/14.17.6`
Rust,1.54.0,foss/2021b,`module load foss/2021b Rust/1.54.0`
zlib,1.2.11,foss/2021b,`module load foss/2021b zlib/1.2.11`
OpenEXR,3.1.1,foss/2021b,`module load foss/2021b OpenEXR/3.1.1`
jbigkit,2.1,foss/2021b,`module load foss/2021b jbigkit/2.1`
libgd,2.3.3,foss/2021b,`module load foss/2021b libgd/2.3.3`
lz4,1.9.3,foss/2021b,`module load foss/2021b lz4/1.9.3`
kim-api,2.3.0,foss/2021b,`module load foss/2021b kim-api/2.3.0`
motif,2.3.8,foss/2021b,`module load foss/2021b motif/2.3.8`
libarchive,3.5.1,foss/2021b,`module load foss/2021b libarchive/3.5.1`
Ninja,1.10.2,foss/2021b,`module load foss/2021b Ninja/1.10.2`
Perl,5.34.0,foss/2021b,`module load foss/2021b Perl/5.34.0`
M4,1.4.19,foss/2021b,`module load foss/2021b M4/1.4.19`
GLib,2.69.1,foss/2021b,`module load foss/2021b GLib/2.69.1`
ICU,69.1,foss/2021b,`module load foss/2021b ICU/69.1`
groff,1.22.4,foss/2021b,`module load foss/2021b groff/1.22.4`
Meson,0.58.2,foss/2021b,`module load foss/2021b Meson/0.58.2`
UDUNITS,2.2.28,foss/2021b,`module load foss/2021b UDUNITS/2.2.28`
Z3,4.8.12,foss/2021b,`module load foss/2021b Z3/4.8.12`
gettext,0.21,foss/2021b,`module load foss/2021b gettext/0.21`
libvorbis,1.3.7,foss/2021b,`module load foss/2021b libvorbis/1.3.7`
LittleCMS,2.12,foss/2021b,`module load foss/2021b LittleCMS/2.12`
scikit-build,0.11.1,foss/2021b,`module load foss/2021b scikit-build/0.11.1`
Szip,2.1.1,foss/2021b,`module load foss/2021b Szip/2.1.1`
libffi,3.4.2,foss/2021b,`module load foss/2021b libffi/3.4.2`
PCRE,8.45,foss/2021b,`module load foss/2021b PCRE/8.45`
Eigen,3.4.0,foss/2021b,`module load foss/2021b Eigen/3.4.0`
Eigen,3.3.9,foss/2021b,`module load foss/2021b Eigen/3.3.9`
GObject-Introspection,1.68.0,foss/2021b,`module load foss/2021b GObject-Introspection/1.68.0`
LAME,3.100,foss/2021b,`module load foss/2021b LAME/3.100`
snappy,1.1.9,foss/2021b,`module load foss/2021b snappy/1.1.9`
NSS,3.69,foss/2021b,`module load foss/2021b NSS/3.69`
expat,2.4.1,foss/2021b,`module load foss/2021b expat/2.4.1`
Autoconf,2.71,foss/2021b,`module load foss/2021b Autoconf/2.71`
Xvfb,1.20.13,foss/2021b,`module load foss/2021b Xvfb/1.20.13`
xxd,8.2.4220,foss/2021b,`module load foss/2021b xxd/8.2.4220`
XZ,5.2.5,foss/2021b,`module load foss/2021b XZ/5.2.5`
cppy,1.1.0,foss/2021b,`module load foss/2021b cppy/1.1.0`
X11,20210802,foss/2021b,`module load foss/2021b X11/20210802`
Mesa,21.1.7,foss/2021b,`module load foss/2021b Mesa/21.1.7`
GLPK,5.0,foss/2021b,`module load foss/2021b GLPK/5.0`
archspec,0.1.3,foss/2021b,`module load foss/2021b archspec/0.1.3`
Bison,3.7.6,foss/2021b,`module load foss/2021b Bison/3.7.6`
Lua,5.4.3,foss/2021b,`module load foss/2021b Lua/5.4.3`
Autotools,20210726,foss/2021b,`module load foss/2021b Autotools/20210726`
re2c,2.2,foss/2021b,`module load foss/2021b re2c/2.2`
libtirpc,1.3.2,foss/2021b,`module load foss/2021b libtirpc/1.3.2`
LibTIFF,4.3.0,foss/2021b,`module load foss/2021b LibTIFF/4.3.0`
gperf,3.1,foss/2021b,`module load foss/2021b gperf/3.1`
Tcl,8.6.11,foss/2021b,`module load foss/2021b Tcl/8.6.11`
ACTC,1.1,foss/2021b,`module load foss/2021b ACTC/1.1`
x265,3.5,foss/2021b,`module load foss/2021b x265/3.5`
libdrm,2.4.107,foss/2021b,`module load foss/2021b libdrm/2.4.107`
Tkinter,3.9.6,foss/2021b,`module load foss/2021b Tkinter/3.9.6`
gzip,1.10,foss/2021b,`module load foss/2021b gzip/1.10`
SQLite,3.36,foss/2021b,`module load foss/2021b SQLite/3.36`
libreadline,8.1,foss/2021b,`module load foss/2021b libreadline/8.1`
numactl,2.0.14,foss/2021b,`module load foss/2021b numactl/2.0.14`
intltool,0.51.0,foss/2021b,`module load foss/2021b intltool/0.51.0`
double-conversion,3.1.5,foss/2021b,`module load foss/2021b double-conversion/3.1.5`
libunwind,1.5.0,foss/2021b,`module load foss/2021b libunwind/1.5.0`
Python,3.9.6,foss/2021b,`module load foss/2021b Python/3.9.6`
Python,2.7.18-bare,foss/2021b,`module load foss/2021b Python/2.7.18-bare`
Python,3.9.6-bare,foss/2021b,`module load foss/2021b Python/3.9.6-bare`
Ghostscript,9.54.0,foss/2021b,`module load foss/2021b Ghostscript/9.54.0`
help2man,1.48.3,foss/2021b,`module load foss/2021b help2man/1.48.3`
GDRCopy,2.3,foss/2021b,`module load foss/2021b GDRCopy/2.3`
JasPer,2.0.33,foss/2021b,`module load foss/2021b JasPer/2.0.33`
elfutils,0.185,foss/2021b,`module load foss/2021b elfutils/0.185`
flex,2.6.4,foss/2021b,`module load foss/2021b flex/2.6.4`
FriBidi,1.0.10,foss/2021b,`module load foss/2021b FriBidi/1.0.10`
cURL,7.78.0,foss/2021b,`module load foss/2021b cURL/7.78.0`
util-linux,2.37,foss/2021b,`module load foss/2021b util-linux/2.37`
libfabric,1.13.2,foss/2021b,`module load foss/2021b libfabric/1.13.2`
tqdm,4.62.3,foss/2021b,`module load foss/2021b tqdm/4.62.3`
nettle,3.7.3,foss/2021b,`module load foss/2021b nettle/3.7.3`
libiconv,1.16,foss/2021b,`module load foss/2021b libiconv/1.16`
MPFR,4.1.0,foss/2021b,`module load foss/2021b MPFR/4.1.0`
xprop,1.2.5,foss/2021b,`module load foss/2021b xprop/1.2.5`
SWIG,4.0.2,foss/2021b,`module load foss/2021b SWIG/4.0.2`
CMake,3.21.1,foss/2021b,`module load foss/2021b CMake/3.21.1`
CMake,3.22.1,foss/2021b,`module load foss/2021b CMake/3.22.1`
fontconfig,2.13.94,foss/2021b,`module load foss/2021b fontconfig/2.13.94`
libogg,1.3.5,foss/2021b,`module load foss/2021b libogg/1.3.5`
libgit2,1.1.1,foss/2021b,`module load foss/2021b libgit2/1.1.1`
Mako,1.1.4,foss/2021b,`module load foss/2021b Mako/1.1.4`
libglvnd,1.3.3,foss/2021b,`module load foss/2021b libglvnd/1.3.3`
Clang,12.0.1,foss/2021b,`module load foss/2021b Clang/12.0.1`
freetype,2.11.0,foss/2021b,`module load foss/2021b freetype/2.11.0`
libgeotiff,1.7.0,foss/2021b,`module load foss/2021b libgeotiff/1.7.0`
PyQt5,5.15.4,foss/2021b,`module load foss/2021b PyQt5/5.15.4`
NLopt,2.7.0,foss/2021b,`module load foss/2021b NLopt/2.7.0`
bzip2,1.0.8,foss/2021b,`module load foss/2021b bzip2/1.0.8`
zstd,1.5.0,foss/2021b,`module load foss/2021b zstd/1.5.0`
cairo,1.16.0,foss/2021b,`module load foss/2021b cairo/1.16.0`
Automake,1.16.4,foss/2021b,`module load foss/2021b Automake/1.16.4`
libGLU,9.0.2,foss/2021b,`module load foss/2021b libGLU/9.0.2`
HarfBuzz,2.8.2,foss/2021b,`module load foss/2021b HarfBuzz/2.8.2`
GMP,6.2.1,foss/2021b,`module load foss/2021b GMP/6.2.1`
SDL2,2.0.20,foss/2021b,`module load foss/2021b SDL2/2.0.20`
libtool,2.4.6,foss/2021b,`module load foss/2021b libtool/2.4.6`
LLVM,12.0.1,foss/2021b,`module load foss/2021b LLVM/12.0.1`
libjpeg-turbo,2.0.6,foss/2021b,`module load foss/2021b libjpeg-turbo/2.0.6`
NSPR,4.32,foss/2021b,`module load foss/2021b NSPR/4.32`
Voro++,0.4.6,foss/2021b,`module load foss/2021b Voro++/0.4.6`
x264,20210613,foss/2021b,`module load foss/2021b x264/20210613`
DBus,1.13.18,foss/2021b,`module load foss/2021b DBus/1.13.18`
FLAC,1.3.3,foss/2021b,`module load foss/2021b FLAC/1.3.3`
pybind11,2.7.1,foss/2021b,`module load foss/2021b pybind11/2.7.1`
xorg-macros,1.19.3,foss/2021b,`module load foss/2021b xorg-macros/1.19.3`
binutils,2.37,foss/2021b,`module load foss/2021b binutils/2.37`
Brotli,1.0.9,foss/2021b,`module load foss/2021b Brotli/1.0.9`
PCRE2,10.37,foss/2021b,`module load foss/2021b PCRE2/10.37`
tbb,2020.3,foss/2021b,`module load foss/2021b tbb/2020.3`
libpciaccess,0.16,foss/2021b,`module load foss/2021b libpciaccess/0.16`
FFmpeg,4.3.2,foss/2021b,`module load foss/2021b FFmpeg/4.3.2`
libcerf,1.17,foss/2021b,`module load foss/2021b libcerf/1.17`
make,4.3,foss/2021b,`module load foss/2021b make/4.3`
Pillow,8.3.2,foss/2021b,`module load foss/2021b Pillow/8.3.2`
pixman,0.40.0,foss/2021b,`module load foss/2021b pixman/0.40.0`
METIS,5.1.0,foss/2021b,`module load foss/2021b METIS/5.1.0`
pkg-config,0.29.2,foss/2021b,`module load foss/2021b pkg-config/0.29.2`
UCX,1.11.2,foss/2021b,`module load foss/2021b UCX/1.11.2`
PMIx,4.1.0,foss/2021b,`module load foss/2021b PMIx/4.1.0`
ncurses,6.2,foss/2021b,`module load foss/2021b ncurses/6.2`
pkgconfig,1.5.5-python,foss/2021b,`module load foss/2021b pkgconfig/1.5.5-python`
libpng,1.6.37,foss/2021b,`module load foss/2021b libpng/1.6.37`
Pango,1.48.8,foss/2021b,`module load foss/2021b Pango/1.48.8`
libevent,2.1.12,foss/2021b,`module load foss/2021b libevent/2.1.12`
Yasm,1.3.0,foss/2021b,`module load foss/2021b Yasm/1.3.0`
Doxygen,1.9.1,foss/2021b,`module load foss/2021b Doxygen/1.9.1`
gnuplot,5.4.2,foss/2021b,`module load foss/2021b gnuplot/5.4.2`
hwloc,2.5.0,foss/2021b,`module load foss/2021b hwloc/2.5.0`
HDF,4.2.15,foss/2021b,`module load foss/2021b HDF/4.2.15`
libxml2,2.9.10,foss/2021b,`module load foss/2021b libxml2/2.9.10`
NASM,2.15.05,foss/2021b,`module load foss/2021b NASM/2.15.05`
git,2.33.1-nodocs,foss/2021b,`module load foss/2021b git/2.33.1-nodocs`
tmux,3.2a,foss/2021b,`module load foss/2021b tmux/3.2a`
UnZip,6.0,foss/2021b,`module load foss/2021b UnZip/6.0`
Qt5,5.15.2,foss/2021b,`module load foss/2021b Qt5/5.15.2`
graphite2,1.3.14,foss/2021b,`module load foss/2021b graphite2/1.3.14`
PROJ,8.1.0,foss/2021b,`module load foss/2021b PROJ/8.1.0`
hypothesis,6.14.6,foss/2021b,`module load foss/2021b hypothesis/6.14.6`
NCCL,2.10.3-CUDA-11.4.1,foss/2021b,`module load foss/2021b NCCL/2.10.3-CUDA-11.4.1`
OpenJPEG,2.4.0,foss/2021b,`module load foss/2021b OpenJPEG/2.4.0`
tcsh,6.24.01,foss/2021b,`module load foss/2021b tcsh/6.24.01`
